id,urgencia,cliente,tipo_servico,origem,tempo_espera,descricao,status,peso_urgencia,peso_origem,tempo_espera_norm,score_priorizacao
36,Alta,Cliente L,Nuvem,Autoatendimento,17,Solicitação de upgrade,Resolvido,4,1.0,0.07614213197969544,17.728426395939085
37,Média,Cliente H,Telefone,Telefone,45,Erro de cobrança,Em andamento,2,2.0,0.2182741116751269,11.654822335025381
38,Baixa,Cliente G,TV,WhatsApp,73,Problema recorrente,Resolvido,1,2.5,0.3604060913705584,8.831218274111675
39,Alta,Cliente B,Telefone,WhatsApp,197,Mudança de endereço,Aberto,4,2.5,0.9898477157360406,24.71954314720812
40,Média,Cliente K,Internet,App,15,Instabilidade,Resolvido,2,2.0,0.06598984771573604,11.197969543147208
41,Baixa,Cliente I,TV,Autoatendimento,138,Erro de cobrança,Resolvido,1,1.0,0.6903553299492385,7.571065989847716
42,Média,Cliente G,Nuvem,Telefone,76,Solicitação de reembolso,Resolvido,2,2.0,0.3756345177664975,12.126903553299492
43,Baixa,Cliente L,Internet,Autoatendimento,109,Instabilidade,Resolvido,1,1.0,0.5431472081218274,7.129441624365482
44,Crítica,Cliente K,Telefone,Autoatendimento,145,Lentidão,Resolvido,8,1.0,0.7258883248730964,35.67766497461929
45,Baixa,Cliente F,Internet,Autoatendimento,142,Solicitação de upgrade,Resolvido,1,1.0,0.7106598984771574,7.631979695431472
46,Média,Cliente I,Internet,Email,37,Problema recorrente,Aberto,2,1.5,0.17766497461928935,12.782994923857869
47,Média,Cliente A,TV,Telefone,45,Instabilidade,Resolvido,2,2.0,0.2182741116751269,11.654822335025381
48,Média,Cliente K,Internet,App,101,Reclamação atendimento,Resolvido,2,2.0,0.5025380710659898,12.50761421319797
49,Média,Cliente B,TV,Autoatendimento,82,Queda de sinal,Resolvido,2,1.0,0.40609137055837563,10.718274111675127
50,Baixa,Cliente A,Internet,WhatsApp,15,Solicitação de upgrade,Aberto,1,2.5,0.06598984771573604,9.947969543147208
51,Crítica,Cliente J,Data Center,App,94,Instabilidade,Resolvido,8,2.0,0.467005076142132,36.401015228426395
52,Alta,Cliente L,Internet,Autoatendimento,18,Solicitação de reembolso,Em andamento,4,1.0,0.08121827411167512,17.743654822335024
53,Crítica,Cliente C,Internet,Telefone,194,Mudança de endereço,Resolvido,8,2.0,0.9746192893401016,37.923857868020306
54,Crítica,Cliente K,Internet,WhatsApp,98,Mudança de endereço,Resolvido,8,2.5,0.4873096446700508,37.21192893401015
55,Média,Cliente E,Nuvem,WhatsApp,127,Solicitação de upgrade,Resolvido,2,2.5,0.6345177664974619,13.653553299492385
56,Crítica,Cliente A,Internet,WhatsApp,55,Queda de sinal,Resolvido,8,2.5,0.26903553299492383,36.557106598984774
57,Baixa,Cliente D,Internet,Telefone,127,Reclamação atendimento,Aberto,1,2.0,0.6345177664974619,10.903553299492385
58,Baixa,Cliente H,Nuvem,Email,131,Instabilidade,Resolvido,1,1.5,0.6548223350253807,8.214467005076141
59,Baixa,Cliente F,Nuvem,WhatsApp,146,Reclamação atendimento,Resolvido,1,2.5,0.7309644670050761,9.942893401015228
60,Média,Cliente A,Nuvem,Autoatendimento,24,Mudança de endereço,Aberto,2,1.0,0.1116751269035533,11.83502538071066
61,Média,Cliente L,Internet,App,130,Instabilidade,Em andamento,2,2.0,0.649746192893401,12.949238578680204
62,Baixa,Cliente A,Internet,WhatsApp,13,Mudança de endereço,Resolvido,1,2.5,0.05583756345177665,7.91751269035533
63,Alta,Cliente C,TV,WhatsApp,142,Solicitação de reembolso,Aberto,4,2.5,0.7106598984771574,23.881979695431472
64,Média,Cliente J,Telefone,App,13,Reclamação atendimento,Aberto,2,2.0,0.05583756345177665,13.16751269035533
65,Média,Cliente H,Internet,WhatsApp,58,Queda de sinal,Resolvido,2,2.5,0.28426395939086296,12.602791878172589
66,Média,Cliente K,Internet,Autoatendimento,87,Solicitação de upgrade,Resolvido,2,1.0,0.43147208121827413,10.794416243654823
67,Baixa,Cliente K,Data Center,Telefone,19,Mudança de endereço,Aberto,1,2.0,0.08629441624365482,9.258883248730964
68,Alta,Cliente H,Internet,Email,104,Solicitação de reembolso,Resolvido,4,1.5,0.5177664974619289,19.803299492385786
69,Baixa,Cliente C,TV,WhatsApp,84,Solicitação de reembolso,Resolvido,1,2.5,0.41624365482233505,8.998730964467004
70,Crítica,Cliente G,Telefone,App,95,Reclamação atendimento,Resolvido,8,2.0,0.4720812182741117,36.41624365482234
71,Alta,Cliente L,TV,Autoatendimento,144,Solicitação de reembolso,Em andamento,4,1.0,0.7208121827411168,19.66243654822335
72,Baixa,Cliente C,TV,Telefone,168,Solicitação de upgrade,Em andamento,1,2.0,0.8426395939086294,9.527918781725887
73,Baixa,Cliente D,Internet,WhatsApp,79,Queda de sinal,Em andamento,1,2.5,0.39086294416243655,8.92258883248731
74,Alta,Cliente I,Internet,WhatsApp,74,Lentidão,Resolvido,4,2.5,0.36548223350253806,20.846446700507613
75,Alta,Cliente D,TV,Telefone,198,Lentidão,Em andamento,4,2.0,0.9949238578680203,21.98477157360406
76,Alta,Cliente C,Internet,Email,162,Solicitação de reembolso,Aberto,4,1.5,0.8121827411167513,22.686548223350254
77,Alta,Cliente E,TV,Autoatendimento,177,Mudança de endereço,Aberto,4,1.0,0.8883248730964467,22.16497461928934
78,Baixa,Cliente G,TV,Autoatendimento,134,Falha total,Em andamento,1,1.0,0.6700507614213198,7.51015228426396
79,Média,Cliente E,Telefone,App,89,Queda de sinal,Resolvido,2,2.0,0.4416243654822335,12.324873096446701
80,Baixa,Cliente D,Internet,Telefone,9,Mudança de endereço,Resolvido,1,2.0,0.03553299492385787,7.106598984771574
81,Alta,Cliente H,Internet,App,148,Mudança de endereço,Resolvido,4,2.0,0.7411167512690355,21.223350253807105
82,Média,Cliente D,TV,Telefone,181,Falha total,Aberto,2,2.0,0.9086294416243654,15.725888324873097
83,Média,Cliente B,Internet,Autoatendimento,13,Instabilidade,Resolvido,2,1.0,0.05583756345177665,9.66751269035533
84,Baixa,Cliente J,Data Center,Email,73,Lentidão,Resolvido,1,1.5,0.3604060913705584,7.331218274111675
85,Média,Cliente F,Data Center,Email,137,Erro de cobrança,Resolvido,2,1.5,0.6852791878172588,12.305837563451776
86,Média,Cliente B,Internet,Telefone,56,Queda de sinal,Em andamento,2,2.0,0.27411167512690354,11.82233502538071
87,Alta,Cliente C,Internet,Autoatendimento,123,Instabilidade,Resolvido,4,1.0,0.6142131979695431,19.34263959390863
88,Média,Cliente A,Internet,WhatsApp,94,Falha total,Em andamento,2,2.5,0.467005076142132,13.151015228426395
89,Alta,Cliente E,Data Center,Autoatendimento,163,Erro de cobrança,Aberto,4,1.0,0.817258883248731,21.951776649746193
90,Média,Cliente I,Internet,App,83,Queda de sinal,Aberto,2,2.0,0.41116751269035534,14.233502538071066
91,Baixa,Cliente B,Internet,Telefone,194,Problema recorrente,Aberto,1,2.0,0.9746192893401016,11.923857868020304
92,Alta,Cliente L,TV,App,48,Falha total,Em andamento,4,2.0,0.233502538071066,19.700507614213198
93,Alta,Cliente G,Internet,Telefone,109,Queda de sinal,Resolvido,4,2.0,0.5431472081218274,20.629441624365484
94,Média,Cliente E,Internet,WhatsApp,36,Problema recorrente,Aberto,2,2.5,0.17258883248730963,14.26776649746193
95,Alta,Cliente B,Internet,Email,161,Instabilidade,Em andamento,4,1.5,0.8071065989847716,20.671319796954315
96,Média,Cliente H,Telefone,Autoatendimento,180,Problema recorrente,Em andamento,2,1.0,0.9035532994923858,12.210659898477157
97,Média,Cliente K,Internet,Email,107,Falha total,Resolvido,2,1.5,0.5329949238578681,11.848984771573605
98,Média,Cliente F,Telefone,Autoatendimento,135,Lentidão,Aberto,2,1.0,0.6751269035532995,13.525380710659899
99,Baixa,Cliente D,Nuvem,Telefone,138,Falha total,Resolvido,1,2.0,0.6903553299492385,9.071065989847716
100,Baixa,Cliente D,Telefone,Telefone,41,Reclamação atendimento,Em andamento,1,2.0,0.19796954314720813,7.593908629441624
101,Baixa,Cliente B,TV,App,177,Solicitação de upgrade,Aberto,1,2.0,0.8883248730964467,11.66497461928934
102,Média,Cliente C,Internet,Autoatendimento,97,Instabilidade,Resolvido,2,1.0,0.48223350253807107,10.946700507614214
103,Média,Cliente G,Internet,WhatsApp,155,Solicitação de upgrade,Aberto,2,2.5,0.7766497461928934,16.07994923857868
104,Média,Cliente C,Internet,WhatsApp,83,Mudança de endereço,Resolvido,2,2.5,0.41116751269035534,12.983502538071066
105,Crítica,Cliente E,Telefone,Telefone,38,Instabilidade,Resolvido,8,2.0,0.18274111675126903,35.54822335025381
106,Baixa,Cliente J,Internet,Telefone,181,Queda de sinal,Resolvido,1,2.0,0.9086294416243654,9.725888324873097
107,Média,Cliente F,Internet,Telefone,141,Erro de cobrança,Aberto,2,2.0,0.7055837563451777,15.116751269035532
108,Alta,Cliente F,Internet,Autoatendimento,167,Mudança de endereço,Resolvido,4,1.0,0.8375634517766497,20.012690355329948
109,Baixa,Cliente D,Internet,Telefone,197,Queda de sinal,Resolvido,1,2.0,0.9898477157360406,9.969543147208121
110,Baixa,Cliente F,Telefone,Email,17,Mudança de endereço,Em andamento,1,1.5,0.07614213197969544,6.478426395939087
111,Média,Cliente C,Telefone,App,190,Reclamação atendimento,Aberto,2,2.0,0.9543147208121827,15.862944162436548
112,Baixa,Cliente G,Internet,Telefone,25,Falha total,Aberto,1,2.0,0.116751269035533,9.350253807106599
113,Crítica,Cliente G,TV,WhatsApp,146,Instabilidade,Aberto,8,2.5,0.7309644670050761,39.942893401015226
114,Alta,Cliente D,Telefone,Autoatendimento,116,Lentidão,Resolvido,4,1.0,0.5786802030456852,19.236040609137056
115,Média,Cliente B,Telefone,WhatsApp,96,Reclamação atendimento,Resolvido,2,2.5,0.47715736040609136,13.181472081218274
116,Alta,Cliente K,Nuvem,App,5,Instabilidade,Em andamento,4,2.0,0.015228426395939087,19.04568527918782
117,Alta,Cliente G,Internet,Telefone,51,Lentidão,Aberto,4,2.0,0.24873096446700507,21.746192893401016
118,Baixa,Cliente C,Internet,WhatsApp,109,Mudança de endereço,Aberto,1,2.5,0.5431472081218274,11.379441624365482
119,Crítica,Cliente A,Telefone,Email,103,Problema recorrente,Em andamento,8,1.5,0.5126903553299492,35.78807106598985
120,Média,Cliente B,Data Center,WhatsApp,132,Solicitação de upgrade,Aberto,2,2.5,0.6598984771573604,15.72969543147208
121,Alta,Cliente J,Telefone,Telefone,9,Lentidão,Aberto,4,2.0,0.03553299492385787,21.106598984771573
122,Crítica,Cliente I,Nuvem,Autoatendimento,13,Falha total,Aberto,8,1.0,0.05583756345177665,35.66751269035533
123,Média,Cliente L,TV,Telefone,164,Mudança de endereço,Resolvido,2,2.0,0.8223350253807107,13.467005076142133
124,Baixa,Cliente H,Telefone,Telefone,67,Falha total,Resolvido,1,2.0,0.3299492385786802,7.98984771573604
125,Baixa,Cliente F,Telefone,WhatsApp,182,Erro de cobrança,Resolvido,1,2.5,0.9137055837563451,10.491116751269036
126,Média,Cliente F,Internet,Telefone,94,Instabilidade,Resolvido,2,2.0,0.467005076142132,12.401015228426395
127,Alta,Cliente A,Telefone,App,162,Problema recorrente,Aberto,4,2.0,0.8121827411167513,23.436548223350254
128,Alta,Cliente B,Telefone,Autoatendimento,115,Lentidão,Resolvido,4,1.0,0.5736040609137056,19.220812182741117
129,Baixa,Cliente D,TV,Telefone,19,Solicitação de upgrade,Aberto,1,2.0,0.08629441624365482,9.258883248730964
130,Média,Cliente C,Internet,WhatsApp,105,Lentidão,Resolvido,2,2.5,0.5228426395939086,13.318527918781726
131,Média,Cliente A,Internet,Autoatendimento,187,Falha total,Aberto,2,1.0,0.9390862944162437,14.31725888324873
132,Baixa,Cliente H,TV,WhatsApp,87,Problema recorrente,Aberto,1,2.5,0.43147208121827413,11.044416243654823
133,Baixa,Cliente G,TV,Telefone,94,Lentidão,Em andamento,1,2.0,0.467005076142132,8.401015228426395
134,Média,Cliente D,Data Center,Autoatendimento,46,Mudança de endereço,Aberto,2,1.0,0.2233502538071066,12.17005076142132
135,Crítica,Cliente L,Internet,Autoatendimento,144,Erro de cobrança,Aberto,8,1.0,0.7208121827411168,37.66243654822335
136,Média,Cliente L,Internet,Telefone,144,Problema recorrente,Aberto,2,2.0,0.7208121827411168,15.16243654822335
137,Média,Cliente I,Internet,App,46,Instabilidade,Resolvido,2,2.0,0.2233502538071066,11.67005076142132
138,Alta,Cliente K,TV,Autoatendimento,197,Problema recorrente,Aberto,4,1.0,0.9898477157360406,22.46954314720812
139,Média,Cliente D,Internet,App,101,Solicitação de upgrade,Em andamento,2,2.0,0.5025380710659898,12.50761421319797
140,Crítica,Cliente A,Nuvem,Telefone,198,Mudança de endereço,Resolvido,8,2.0,0.9949238578680203,37.984771573604064
141,Crítica,Cliente J,Internet,WhatsApp,196,Lentidão,Aberto,8,2.5,0.9847715736040609,40.704314720812185
142,Baixa,Cliente A,Nuvem,Telefone,63,Queda de sinal,Resolvido,1,2.0,0.3096446700507614,7.928934010152284
143,Média,Cliente A,TV,App,85,Lentidão,Resolvido,2,2.0,0.4213197969543147,12.263959390862944
144,Média,Cliente A,Nuvem,Email,173,Falha total,Resolvido,2,1.5,0.868020304568528,12.854060913705585
145,Média,Cliente D,Internet,App,21,Falha total,Em andamento,2,2.0,0.09644670050761421,11.289340101522843
146,Baixa,Cliente A,Telefone,Email,168,Reclamação atendimento,Em andamento,1,1.5,0.8426395939086294,8.777918781725887
147,Média,Cliente B,Internet,Telefone,40,Erro de cobrança,Resolvido,2,2.0,0.19289340101522842,11.578680203045685
148,Média,Cliente D,Internet,App,130,Lentidão,Aberto,2,2.0,0.649746192893401,14.949238578680204
149,Baixa,Cliente G,Internet,App,109,Instabilidade,Aberto,1,2.0,0.5431472081218274,10.629441624365482
150,Baixa,Cliente B,TV,Autoatendimento,68,Solicitação de reembolso,Aberto,1,1.0,0.3350253807106599,8.50507614213198
151,Crítica,Cliente H,Internet,App,48,Solicitação de reembolso,Resolvido,8,2.0,0.233502538071066,35.7005076142132
152,Baixa,Cliente G,Nuvem,WhatsApp,119,Instabilidade,Aberto,1,2.5,0.5939086294416244,11.531725888324873
153,Baixa,Cliente I,Internet,App,55,Problema recorrente,Resolvido,1,2.0,0.26903553299492383,7.807106598984771
154,Média,Cliente F,Internet,App,149,Mudança de endereço,Aberto,2,2.0,0.7461928934010152,15.238578680203046
155,Crítica,Cliente D,Internet,App,138,Reclamação atendimento,Resolvido,8,2.0,0.6903553299492385,37.07106598984772
156,Baixa,Cliente F,TV,App,96,Reclamação atendimento,Em andamento,1,2.0,0.47715736040609136,8.431472081218274
157,Alta,Cliente D,Internet,Autoatendimento,29,Problema recorrente,Aberto,4,1.0,0.13705583756345177,19.911167512690355
158,Alta,Cliente G,Nuvem,Autoatendimento,65,Queda de sinal,Aberto,4,1.0,0.3197969543147208,20.45939086294416
159,Baixa,Cliente I,Telefone,Autoatendimento,36,Solicitação de reembolso,Aberto,1,1.0,0.17258883248730963,8.01776649746193
160,Alta,Cliente C,Data Center,Autoatendimento,41,Reclamação atendimento,Aberto,4,1.0,0.19796954314720813,20.093908629441625
161,Média,Cliente C,Internet,Telefone,126,Solicitação de upgrade,Em andamento,2,2.0,0.6294416243654822,12.888324873096447
162,Média,Cliente B,Telefone,WhatsApp,103,Lentidão,Resolvido,2,2.5,0.5126903553299492,13.288071065989847
163,Média,Cliente A,TV,Telefone,3,Reclamação atendimento,Resolvido,2,2.0,0.005076142131979695,11.01522842639594
164,Média,Cliente A,Nuvem,Email,132,Problema recorrente,Resolvido,2,1.5,0.6598984771573604,12.22969543147208
165,Baixa,Cliente C,Internet,Email,15,Reclamação atendimento,Resolvido,1,1.5,0.06598984771573604,6.447969543147208
166,Alta,Cliente G,Nuvem,WhatsApp,100,Mudança de endereço,Resolvido,4,2.5,0.49746192893401014,21.242385786802032
167,Média,Cliente K,Internet,Telefone,69,Falha total,Aberto,2,2.0,0.3401015228426396,14.02030456852792
168,Baixa,Cliente I,TV,Telefone,48,Falha total,Resolvido,1,2.0,0.233502538071066,7.700507614213198
169,Baixa,Cliente B,Internet,Autoatendimento,95,Queda de sinal,Resolvido,1,1.0,0.4720812182741117,6.916243654822335
170,Média,Cliente G,Internet,Telefone,183,Reclamação atendimento,Resolvido,2,2.0,0.9187817258883249,13.756345177664976
171,Alta,Cliente A,Internet,Email,187,Lentidão,Resolvido,4,1.5,0.9390862944162437,21.06725888324873
172,Baixa,Cliente B,Nuvem,WhatsApp,191,Erro de cobrança,Resolvido,1,2.5,0.9593908629441624,10.628172588832488
173,Média,Cliente F,Data Center,Email,52,Queda de sinal,Resolvido,2,1.5,0.25380710659898476,11.011421319796954
174,Baixa,Cliente K,Internet,Telefone,49,Erro de cobrança,Resolvido,1,2.0,0.23857868020304568,7.715736040609137
175,Média,Cliente E,Nuvem,Autoatendimento,156,Reclamação atendimento,Resolvido,2,1.0,0.7817258883248731,11.845177664974619
176,Baixa,Cliente H,Telefone,Email,78,Solicitação de reembolso,Em andamento,1,1.5,0.38578680203045684,7.407360406091371
177,Alta,Cliente L,TV,Autoatendimento,184,Problema recorrente,Resolvido,4,1.0,0.9238578680203046,20.271573604060915
178,Média,Cliente K,Internet,WhatsApp,126,Solicitação de upgrade,Resolvido,2,2.5,0.6294416243654822,13.638324873096447
179,Crítica,Cliente B,Telefone,Email,114,Erro de cobrança,Em andamento,8,1.5,0.5685279187817259,35.95558375634518
180,Baixa,Cliente A,Internet,Autoatendimento,178,Lentidão,Em andamento,1,1.0,0.8934010152284264,8.180203045685278
181,Média,Cliente G,Internet,WhatsApp,153,Solicitação de reembolso,Resolvido,2,2.5,0.766497461928934,14.049492385786802
182,Baixa,Cliente F,Telefone,WhatsApp,11,Reclamação atendimento,Aberto,1,2.5,0.04568527918781726,9.887055837563452
183,Crítica,Cliente H,Nuvem,Email,136,Solicitação de reembolso,Aberto,8,1.5,0.6802030456852792,38.29060913705584
184,Alta,Cliente K,Telefone,Autoatendimento,117,Problema recorrente,Aberto,4,1.0,0.583756345177665,21.251269035532996
185,Baixa,Cliente H,Data Center,Email,18,Lentidão,Resolvido,1,1.5,0.08121827411167512,6.493654822335025
186,Média,Cliente B,Nuvem,Autoatendimento,23,Problema recorrente,Aberto,2,1.0,0.1065989847715736,11.819796954314722
187,Alta,Cliente H,Internet,Telefone,60,Falha total,Resolvido,4,2.0,0.29441624365482233,19.883248730964468
188,Média,Cliente F,Internet,Telefone,45,Queda de sinal,Resolvido,2,2.0,0.2182741116751269,11.654822335025381
189,Média,Cliente I,TV,Autoatendimento,12,Queda de sinal,Aberto,2,1.0,0.050761421319796954,11.652284263959391
190,Baixa,Cliente L,Data Center,Telefone,43,Erro de cobrança,Aberto,1,2.0,0.20812182741116753,9.624365482233502
191,Baixa,Cliente G,Data Center,Autoatendimento,24,Reclamação atendimento,Resolvido,1,1.0,0.1116751269035533,5.83502538071066
192,Crítica,Cliente B,TV,Telefone,119,Mudança de endereço,Resolvido,8,2.0,0.5939086294416244,36.78172588832487
193,Crítica,Cliente H,Telefone,Autoatendimento,189,Instabilidade,Aberto,8,1.0,0.949238578680203,38.34771573604061
194,Média,Cliente I,TV,App,63,Solicitação de upgrade,Resolvido,2,2.0,0.3096446700507614,11.928934010152284
195,Média,Cliente G,Internet,Autoatendimento,112,Solicitação de reembolso,Resolvido,2,1.0,0.5583756345177665,11.175126903553299
196,Média,Cliente D,Internet,App,55,Queda de sinal,Resolvido,2,2.0,0.26903553299492383,11.807106598984772
197,Alta,Cliente I,TV,App,83,Problema recorrente,Aberto,4,2.0,0.41116751269035534,22.233502538071065
198,Crítica,Cliente D,Nuvem,Telefone,120,Solicitação de reembolso,Em andamento,8,2.0,0.5989847715736041,36.796954314720814
199,Alta,Cliente L,Data Center,Telefone,110,Instabilidade,Resolvido,4,2.0,0.5482233502538071,20.64467005076142
200,Alta,Cliente D,Internet,Telefone,113,Problema recorrente,Em andamento,4,2.0,0.5634517766497462,20.690355329949238
201,Média,Cliente I,TV,App,14,Lentidão,Aberto,2,2.0,0.06091370558375635,13.182741116751268
202,Baixa,Cliente H,Nuvem,WhatsApp,69,Lentidão,Aberto,1,2.5,0.3401015228426396,10.77030456852792
203,Baixa,Cliente D,Telefone,App,108,Instabilidade,Resolvido,1,2.0,0.5380710659898477,8.614213197969542
204,Crítica,Cliente H,Internet,Telefone,28,Reclamação atendimento,Em andamento,8,2.0,0.1319796954314721,35.39593908629442
205,Média,Cliente H,Telefone,App,116,Mudança de endereço,Aberto,2,2.0,0.5786802030456852,14.736040609137056
206,Baixa,Cliente G,Telefone,Telefone,169,Solicitação de upgrade,Resolvido,1,2.0,0.8477157360406091,9.543147208121827
207,Baixa,Cliente J,Telefone,App,75,Solicitação de upgrade,Em andamento,1,2.0,0.37055837563451777,8.111675126903553
208,Média,Cliente F,Telefone,Autoatendimento,93,Mudança de endereço,Aberto,2,1.0,0.4619289340101523,12.885786802030458
209,Baixa,Cliente H,Nuvem,WhatsApp,86,Problema recorrente,Resolvido,1,2.5,0.4263959390862944,9.029187817258883
210,Baixa,Cliente G,Internet,WhatsApp,117,Solicitação de upgrade,Em andamento,1,2.5,0.583756345177665,9.501269035532996
211,Média,Cliente E,Internet,WhatsApp,76,Queda de sinal,Resolvido,2,2.5,0.3756345177664975,12.876903553299492
212,Alta,Cliente L,Telefone,Telefone,85,Problema recorrente,Aberto,4,2.0,0.4213197969543147,22.263959390862944
213,Média,Cliente D,Internet,WhatsApp,84,Erro de cobrança,Aberto,2,2.5,0.41624365482233505,14.998730964467004
214,Baixa,Cliente L,Data Center,Autoatendimento,139,Falha total,Resolvido,1,1.0,0.6954314720812182,7.586294416243655
215,Alta,Cliente B,Internet,WhatsApp,16,Erro de cobrança,Resolvido,4,2.5,0.07106598984771574,19.96319796954315
216,Baixa,Cliente K,Telefone,WhatsApp,46,Solicitação de reembolso,Aberto,1,2.5,0.2233502538071066,10.42005076142132
217,Média,Cliente H,Nuvem,Telefone,182,Mudança de endereço,Resolvido,2,2.0,0.9137055837563451,13.741116751269036
218,Alta,Cliente I,Internet,Email,83,Solicitação de reembolso,Aberto,4,1.5,0.41116751269035534,21.483502538071065
219,Média,Cliente D,Nuvem,Autoatendimento,8,Solicitação de upgrade,Aberto,2,1.0,0.030456852791878174,11.591370558375635
220,Alta,Cliente D,Telefone,Autoatendimento,159,Lentidão,Aberto,4,1.0,0.7969543147208121,21.890862944162436
221,Média,Cliente E,Internet,Telefone,79,Falha total,Resolvido,2,2.0,0.39086294416243655,12.17258883248731
222,Média,Cliente B,Nuvem,App,31,Queda de sinal,Aberto,2,2.0,0.14720812182741116,13.441624365482234
223,Baixa,Cliente G,Internet,WhatsApp,119,Reclamação atendimento,Aberto,1,2.5,0.5939086294416244,11.531725888324873
224,Média,Cliente E,Telefone,App,156,Problema recorrente,Resolvido,2,2.0,0.7817258883248731,13.345177664974619
225,Baixa,Cliente F,Internet,Telefone,50,Queda de sinal,Aberto,1,2.0,0.2436548223350254,9.730964467005077
226,Baixa,Cliente D,Internet,Email,186,Queda de sinal,Aberto,1,1.5,0.934010152284264,11.052030456852792
227,Crítica,Cliente H,Nuvem,Telefone,193,Solicitação de reembolso,Aberto,8,2.0,0.9695431472081218,39.90862944162436
228,Média,Cliente H,TV,Email,102,Lentidão,Resolvido,2,1.5,0.5076142131979695,11.77284263959391
