id,urgencia,cliente,tipo_servico,origem,tempo_espera,descricao,status
164,Média,Cliente A,Nuvem,Email,132,Problema recorrente,Resolvido
165,Baixa,Cliente C,Internet,Email,15,Reclamação atendimento,Resolvido
166,Alta,Cliente G,Nuvem,WhatsApp,100,Mudança de endereço,Resolvido
167,Média,Cliente K,Internet,Telefone,69,Falha total,Aberto
168,Baixa,Cliente I,TV,Telefone,48,Falha total,Resolvido
169,Baixa,Cliente B,Internet,Autoatendimento,95,Queda de sinal,Resolvido
170,Média,Cliente G,Internet,Telefone,183,Reclamação atendimento,Resolvido
171,Alta,Cliente A,Internet,Email,187,Lentidão,Resolvido
172,Baixa,Cliente B,Nuvem,WhatsApp,191,Erro de cobrança,Resolvido
173,Média,Cliente F,Data Center,Email,52,Queda de sinal,Resolvido
174,Baixa,Cliente K,Internet,Telefone,49,Erro de cobrança,Resolvido
175,Média,Cliente E,Nuvem,Autoatendimento,156,Reclamação atendimento,Resolvido
176,Baixa,Cliente H,Telefone,Email,78,Solicitação de reembolso,Em andamento
177,Alta,Cliente L,TV,Autoatendimento,184,Problema recorrente,Resolvido
178,Média,Cliente K,Internet,WhatsApp,126,Solicitação de upgrade,Resolvido
179,Crítica,Cliente B,Telefone,Email,114,Erro de cobrança,Em andamento
180,Baixa,Cliente A,Internet,Autoatendimento,178,Lentidão,Em andamento
181,Média,Cliente G,Internet,WhatsApp,153,Solicitação de reembolso,Resolvido
182,Baixa,Cliente F,Telefone,WhatsApp,11,Reclamação atendimento,Aberto
183,Crítica,Cliente H,Nuvem,Email,136,Solicitação de reembolso,Aberto
184,Alta,Cliente K,Telefone,Autoatendimento,117,Problema recorrente,Aberto
185,Baixa,Cliente H,Data Center,Email,18,Lentidão,Resolvido
186,Média,Cliente B,Nuvem,Autoatendimento,23,Problema recorrente,Aberto
187,Alta,Cliente H,Internet,Telefone,60,Falha total,Resolvido
188,Média,Cliente F,Internet,Telefone,45,Queda de sinal,Resolvido
189,Média,Cliente I,TV,Autoatendimento,12,Queda de sinal,Aberto
190,Baixa,Cliente L,Data Center,Telefone,43,Erro de cobrança,Aberto
191,Baixa,Cliente G,Data Center,Autoatendimento,24,Reclamação atendimento,Resolvido
192,Crítica,Cliente B,TV,Telefone,119,Mudança de endereço,Resolvido
193,Crítica,Cliente H,Telefone,Autoatendimento,189,Instabilidade,Aberto
194,Média,Cliente I,TV,App,63,Solicitação de upgrade,Resolvido
195,Média,Cliente G,Internet,Autoatendimento,112,Solicitação de reembolso,Resolvido
196,Média,Cliente D,Internet,App,55,Queda de sinal,Resolvido
197,Alta,Cliente I,TV,App,83,Problema recorrente,Aberto
198,Crítica,Cliente D,Nuvem,Telefone,120,Solicitação de reembolso,Em andamento
199,Alta,Cliente L,Data Center,Telefone,110,Instabilidade,Resolvido
200,Alta,Cliente D,Internet,Telefone,113,Problema recorrente,Em andamento
201,Média,Cliente I,TV,App,14,Lentidão,Aberto
202,Baixa,Cliente H,Nuvem,WhatsApp,69,Lentidão,Aberto
203,Baixa,Cliente D,Telefone,App,108,Instabilidade,Resolvido
204,Crítica,Cliente H,Internet,Telefone,28,Reclamação atendimento,Em andamento
205,Média,Cliente H,Telefone,App,116,Mudança de endereço,Aberto
206,Baixa,Cliente G,Telefone,Telefone,169,Solicitação de upgrade,Resolvido
207,Baixa,Cliente J,Telefone,App,75,Solicitação de upgrade,Em andamento
208,Média,Cliente F,Telefone,Autoatendimento,93,Mudança de endereço,Aberto
209,Baixa,Cliente H,Nuvem,WhatsApp,86,Problema recorrente,Resolvido
210,Baixa,Cliente G,Internet,WhatsApp,117,Solicitação de upgrade,Em andamento
211,Média,Cliente E,Internet,WhatsApp,76,Queda de sinal,Resolvido
212,Alta,Cliente L,Telefone,Telefone,85,Problema recorrente,Aberto
213,Média,Cliente D,Internet,WhatsApp,84,Erro de cobrança,Aberto
214,Baixa,Cliente L,Data Center,Autoatendimento,139,Falha total,Resolvido
215,Alta,Cliente B,Internet,WhatsApp,16,Erro de cobrança,Resolvido
216,Baixa,Cliente K,Telefone,WhatsApp,46,Solicitação de reembolso,Aberto
217,Média,Cliente H,Nuvem,Telefone,182,Mudança de endereço,Resolvido
218,Alta,Cliente I,Internet,Email,83,Solicitação de reembolso,Aberto
219,Média,Cliente D,Nuvem,Autoatendimento,8,Solicitação de upgrade,Aberto
220,Alta,Cliente D,Telefone,Autoatendimento,159,Lentidão,Aberto
221,Média,Cliente E,Internet,Telefone,79,Falha total,Resolvido
222,Média,Cliente B,Nuvem,App,31,Queda de sinal,Aberto
223,Baixa,Cliente G,Internet,WhatsApp,119,Reclamação atendimento,Aberto
224,Média,Cliente E,Telefone,App,156,Problema recorrente,Resolvido
225,Baixa,Cliente F,Internet,Telefone,50,Queda de sinal,Aberto
226,Baixa,Cliente D,Internet,Email,186,Queda de sinal,Aberto
227,Crítica,Cliente H,Nuvem,Telefone,193,Solicitação de reembolso,Aberto
228,Média,Cliente H,TV,Email,102,Lentidão,Resolvido
229,Crítica,Cliente L,Internet,Telefone,192,Problema recorrente,Aberto
230,Média,Cliente E,Telefone,WhatsApp,177,Reclamação atendimento,Resolvido
231,Alta,Cliente L,TV,Autoatendimento,170,Solicitação de reembolso,Aberto
232,Média,Cliente F,Nuvem,App,82,Erro de cobrança,Aberto
233,Média,Cliente C,Telefone,WhatsApp,31,Instabilidade,Resolvido
234,Média,Cliente A,Nuvem,App,4,Reclamação atendimento,Resolvido
235,Baixa,Cliente I,Telefone,Autoatendimento,38,Queda de sinal,Em andamento
236,Alta,Cliente I,TV,Autoatendimento,31,Problema recorrente,Em andamento
237,Média,Cliente C,Data Center,Telefone,55,Queda de sinal,Aberto
238,Baixa,Cliente D,Internet,Telefone,114,Falha total,Resolvido
239,Média,Cliente G,Internet,Email,87,Solicitação de upgrade,Resolvido
240,Baixa,Cliente B,Internet,Telefone,101,Lentidão,Aberto
241,Crítica,Cliente L,Internet,Telefone,86,Solicitação de reembolso,Resolvido
242,Crítica,Cliente C,Internet,Telefone,136,Problema recorrente,Em andamento
243,Crítica,Cliente F,TV,WhatsApp,9,Instabilidade,Aberto
244,Média,Cliente K,Telefone,Telefone,87,Instabilidade,Aberto
245,Baixa,Cliente H,Internet,App,64,Erro de cobrança,Resolvido
246,Crítica,Cliente A,Internet,Autoatendimento,192,Erro de cobrança,Em andamento
247,Média,Cliente D,Internet,Email,193,Solicitação de reembolso,Resolvido
248,Crítica,Cliente A,Internet,WhatsApp,159,Mudança de endereço,Resolvido
249,Crítica,Cliente B,Telefone,Autoatendimento,94,Instabilidade,Resolvido
250,Alta,Cliente H,Internet,Email,139,Reclamação atendimento,Resolvido
251,Média,Cliente F,Data Center,Telefone,198,Erro de cobrança,Aberto
252,Média,Cliente I,Internet,WhatsApp,50,Lentidão,Resolvido
253,Alta,Cliente B,Data Center,WhatsApp,122,Erro de cobrança,Em andamento
254,Média,Cliente C,Internet,Autoatendimento,40,Falha total,Resolvido
255,Baixa,Cliente I,TV,Email,35,Solicitação de reembolso,Aberto
256,Média,Cliente I,Telefone,WhatsApp,103,Queda de sinal,Aberto
257,Crítica,Cliente F,Nuvem,Email,11,Falha total,Aberto
258,Alta,Cliente C,Telefone,Telefone,10,Lentidão,Em andamento
259,Média,Cliente E,Data Center,Autoatendimento,189,Instabilidade,Aberto
260,Baixa,Cliente B,Telefone,Telefone,97,Problema recorrente,Resolvido
261,Média,Cliente G,TV,App,134,Instabilidade,Resolvido
262,Crítica,Cliente J,Nuvem,App,164,Instabilidade,Resolvido
263,Baixa,Cliente K,TV,Telefone,140,Problema recorrente,Aberto
264,Média,Cliente H,Telefone,Telefone,43,Falha total,Aberto
265,Alta,Cliente F,Internet,Email,81,Reclamação atendimento,Resolvido
266,Alta,Cliente H,Nuvem,Email,92,Falha total,Aberto
267,Alta,Cliente B,Telefone,Email,149,Queda de sinal,Resolvido
268,Alta,Cliente C,Telefone,Autoatendimento,180,Falha total,Em andamento
269,Média,Cliente G,Internet,Autoatendimento,2,Lentidão,Resolvido
270,Média,Cliente J,Telefone,Telefone,12,Falha total,Aberto
271,Alta,Cliente L,TV,Autoatendimento,62,Solicitação de upgrade,Aberto
272,Alta,Cliente A,Telefone,Email,80,Mudança de endereço,Resolvido
273,Alta,Cliente G,Internet,WhatsApp,168,Lentidão,Aberto
274,Crítica,Cliente F,Internet,Email,105,Solicitação de reembolso,Resolvido
275,Média,Cliente H,Internet,Autoatendimento,49,Problema recorrente,Aberto
276,Média,Cliente G,TV,WhatsApp,83,Solicitação de reembolso,Em andamento
277,Alta,Cliente D,Internet,WhatsApp,29,Problema recorrente,Em andamento
278,Média,Cliente C,Telefone,Telefone,90,Solicitação de reembolso,Resolvido
279,Alta,Cliente C,Telefone,Telefone,76,Solicitação de upgrade,Resolvido
280,Alta,Cliente D,Data Center,WhatsApp,81,Erro de cobrança,Resolvido
281,Crítica,Cliente I,Internet,App,37,Mudança de endereço,Resolvido
282,Média,Cliente I,Internet,Autoatendimento,88,Reclamação atendimento,Resolvido
283,Média,Cliente B,Telefone,Email,71,Queda de sinal,Em andamento
284,Baixa,Cliente E,Telefone,App,108,Instabilidade,Aberto
285,Média,Cliente A,Internet,Email,191,Problema recorrente,Resolvido
286,Baixa,Cliente D,Nuvem,Email,107,Queda de sinal,Aberto
287,Média,Cliente B,Telefone,Autoatendimento,71,Problema recorrente,Aberto
288,Média,Cliente H,Internet,WhatsApp,11,Problema recorrente,Resolvido
289,Média,Cliente D,Internet,WhatsApp,6,Problema recorrente,Resolvido
290,Média,Cliente E,Nuvem,WhatsApp,29,Problema recorrente,Aberto
291,Baixa,Cliente K,Internet,Telefone,60,Problema recorrente,Resolvido
292,Baixa,Cliente D,Internet,App,138,Instabilidade,Resolvido
293,Alta,Cliente E,Internet,Telefone,168,Solicitação de reembolso,Resolvido
294,Média,Cliente E,Telefone,App,93,Solicitação de reembolso,Resolvido
295,Baixa,Cliente E,Nuvem,WhatsApp,63,Erro de cobrança,Aberto
296,Média,Cliente K,Internet,Email,90,Problema recorrente,Resolvido
297,Alta,Cliente C,Internet,Email,108,Lentidão,Aberto
298,Baixa,Cliente G,Internet,WhatsApp,39,Queda de sinal,Resolvido
299,Média,Cliente C,Telefone,Autoatendimento,153,Instabilidade,Resolvido
300,Baixa,Cliente B,Internet,Autoatendimento,193,Problema recorrente,Resolvido
301,Baixa,Cliente C,Nuvem,WhatsApp,122,Problema recorrente,Resolvido
302,Média,Cliente K,Internet,App,172,Falha total,Em andamento
303,Média,Cliente C,Internet,WhatsApp,111,Lentidão,Resolvido
304,Média,Cliente H,Internet,Autoatendimento,145,Solicitação de upgrade,Resolvido
305,Alta,Cliente D,Nuvem,Telefone,67,Queda de sinal,Aberto
306,Crítica,Cliente C,TV,WhatsApp,67,Reclamação atendimento,Aberto
307,Média,Cliente J,Data Center,WhatsApp,198,Falha total,Resolvido
308,Média,Cliente E,Internet,App,47,Solicitação de reembolso,Resolvido
309,Alta,Cliente D,Internet,WhatsApp,150,Queda de sinal,Resolvido
310,Baixa,Cliente I,Telefone,Telefone,61,Lentidão,Resolvido
311,Média,Cliente H,Telefone,WhatsApp,139,Falha total,Aberto
312,Baixa,Cliente K,Telefone,Email,147,Mudança de endereço,Em andamento
313,Baixa,Cliente G,Internet,WhatsApp,91,Instabilidade,Resolvido
314,Crítica,Cliente H,Internet,Telefone,170,Erro de cobrança,Resolvido
315,Alta,Cliente E,Internet,Telefone,165,Instabilidade,Aberto
316,Alta,Cliente D,TV,Email,114,Falha total,Resolvido
317,Média,Cliente G,Telefone,Autoatendimento,86,Solicitação de reembolso,Resolvido
318,Baixa,Cliente A,Nuvem,Telefone,67,Erro de cobrança,Resolvido
319,Baixa,Cliente F,Internet,Autoatendimento,47,Queda de sinal,Resolvido
320,Baixa,Cliente H,Nuvem,App,119,Falha total,Resolvido
321,Média,Cliente G,Internet,Autoatendimento,152,Solicitação de reembolso,Aberto
322,Alta,Cliente B,Internet,Email,168,Instabilidade,Resolvido
323,Média,Cliente G,Data Center,WhatsApp,96,Erro de cobrança,Aberto
324,Baixa,Cliente F,Telefone,WhatsApp,5,Mudança de endereço,Resolvido
325,Crítica,Cliente E,Telefone,Email,170,Mudança de endereço,Aberto
326,Alta,Cliente D,TV,Telefone,4,Solicitação de upgrade,Resolvido
327,Média,Cliente A,Internet,Telefone,182,Solicitação de upgrade,Resolvido
328,Média,Cliente B,TV,Telefone,121,Queda de sinal,Aberto
329,Média,Cliente G,Nuvem,WhatsApp,75,Queda de sinal,Resolvido
330,Baixa,Cliente J,Internet,App,107,Solicitação de reembolso,Aberto
331,Média,Cliente C,TV,App,97,Queda de sinal,Aberto
332,Alta,Cliente E,TV,WhatsApp,37,Instabilidade,Resolvido
333,Baixa,Cliente H,Internet,App,178,Mudança de endereço,Resolvido
334,Baixa,Cliente H,Internet,App,28,Solicitação de reembolso,Aberto
335,Baixa,Cliente F,Internet,Email,54,Erro de cobrança,Resolvido
336,Baixa,Cliente E,Telefone,Telefone,50,Problema recorrente,Resolvido
337,Alta,Cliente B,Nuvem,Telefone,103,Queda de sinal,Aberto
338,Alta,Cliente I,Telefone,App,2,Falha total,Resolvido
339,Média,Cliente A,Internet,WhatsApp,175,Reclamação atendimento,Em andamento
340,Baixa,Cliente K,Telefone,Email,63,Instabilidade,Aberto
341,Média,Cliente B,Nuvem,Autoatendimento,100,Queda de sinal,Resolvido
342,Média,Cliente A,Internet,Autoatendimento,67,Problema recorrente,Resolvido
343,Baixa,Cliente L,Nuvem,Telefone,151,Instabilidade,Resolvido
344,Média,Cliente D,TV,Autoatendimento,168,Mudança de endereço,Resolvido
345,Média,Cliente D,Internet,App,45,Mudança de endereço,Resolvido
346,Média,Cliente E,Internet,Autoatendimento,3,Solicitação de reembolso,Aberto
347,Média,Cliente E,Telefone,WhatsApp,60,Mudança de endereço,Resolvido
348,Baixa,Cliente H,TV,Autoatendimento,157,Queda de sinal,Em andamento
349,Média,Cliente K,Nuvem,Autoatendimento,196,Erro de cobrança,Em andamento
350,Média,Cliente K,Telefone,Autoatendimento,15,Lentidão,Resolvido
351,Média,Cliente C,Internet,App,17,Lentidão,Resolvido
352,Alta,Cliente F,Internet,Email,52,Solicitação de upgrade,Aberto
353,Média,Cliente L,TV,WhatsApp,101,Instabilidade,Resolvido
354,Baixa,Cliente L,Internet,App,29,Erro de cobrança,Resolvido
355,Baixa,Cliente C,TV,App,54,Problema recorrente,Aberto
356,Média,Cliente B,Internet,Telefone,53,Queda de sinal,Resolvido
357,Baixa,Cliente H,Internet,Telefone,117,Lentidão,Resolvido
358,Média,Cliente A,Internet,Telefone,154,Problema recorrente,Resolvido
359,Crítica,Cliente I,Internet,Autoatendimento,186,Mudança de endereço,Resolvido
360,Média,Cliente K,Telefone,Telefone,10,Mudança de endereço,Aberto
361,Média,Cliente G,Internet,Telefone,12,Lentidão,Resolvido
362,Média,Cliente L,Data Center,Autoatendimento,108,Lentidão,Em andamento
363,Média,Cliente J,Telefone,App,46,Problema recorrente,Aberto
364,Média,Cliente L,Telefone,App,86,Falha total,Resolvido
365,Crítica,Cliente K,Internet,Telefone,3,Instabilidade,Resolvido
366,Média,Cliente D,Telefone,Email,183,Instabilidade,Resolvido
367,Crítica,Cliente C,Internet,Email,163,Problema recorrente,Aberto
368,Crítica,Cliente F,Data Center,Telefone,171,Falha total,Aberto
369,Baixa,Cliente I,Telefone,WhatsApp,70,Mudança de endereço,Em andamento
370,Baixa,Cliente I,Internet,Telefone,140,Falha total,Resolvido
